bus_name,address_hex,frame_name,signal_name,vapi_alias
BDY,0x11B,ASD_A2,EAS_LevelingNotAllowed,ETH_EAS_LevelingNotAllowed
BDY,0x11B,ASD_A2,EAS_LevelingNotPossible,ETH_EAS_LevelingNotPossible
BDY,0x3E9,DAS_bodyControls,DAS_ahlbOverride,ETH_DAS_ahlbOverride
BDY,0x3E9,DAS_bodyControls,DAS_autoWiperState,ETH_DAS_autoWiperState
BDY,0x3E9,DAS_bodyControls,DAS_mirrorFoldRequest,ETH_DAS_mirrorFoldRequest
BDY,0x3E9,DAS_bodyControls,DAS_overrideWiperSetting,ETH_DAS_overrideWiperSetting
BDY,0x7E4,DATLGR_info,DATLGR_serialNum,ETH_DATLGR_serialNum
BDY,0x238,GTW_booleans,ESP_driverBrakeApply,ETH_ESP_driverBrakeApply
BDY,0x292,STW_ACTN_RQ,HiBmLvr_Stat,ETH_HiBmLvr_Stat
BDY,0x292,STW_ACTN_RQ,HrnSw_Psd,ETH_HrnSw_Psd
BDY,0x292,STW_ACTN_RQ,SpdCtrlLvr_Stat,ETH_SpdCtrlLvr_Stat
BDY,0x292,STW_ACTN_RQ,WprWashSw_Psd,ETH_WprWashSw_Psd
BDY,0x3AA,THC_status2,THC_condenserFanPct,ETH_THC_condenserFanPct
BDY,0x3AA,THC_status2,THC_fanPct,ETH_THC_fanPct
BDY,0x3AA,THC_status2,THC_radiatorFanPct,ETH_THC_radiatorFanPct
BDY,0x3AA,THC_status2,THC_refrigDischargeTemp,ETH_THC_refrigDischargeTemp
BDY,0x3AA,THC_status2,THC_refrigSuctionPressure,ETH_THC_refrigSuctionPressure
BDY,0x3AA,THC_status2,THC_refrigSuctionTemp,ETH_THC_refrigSuctionTemp
BDY,0x58F,TUNER_version1,TUNER_HDVersion,ETH_TUNER_HDVersion
BFT,0x2A8,BCS2L_trackMovementStatus,BCS2L_trackMotorPosition,ETH_BCS2L_trackMotorPosition
BFT,0x2A8,BCS2L_trackMovementStatus,BCS2L_trackState,ETH_BCS2L_trackState
BFT,0x2B8,BCS2R_trackMovementStatus,BCS2R_trackMotorPosition,ETH_BCS2R_trackMotorPosition
BFT,0x2B8,BCS2R_trackMovementStatus,BCS2R_trackState,ETH_BCS2R_trackState
BFT,0x308,GTW_carConfig,GTW_chassisType,ETH_GTW_chassisType
BFT,0x308,GTW_carConfig,GTW_rhd,ETH_GTW_rhd
BFT,0x308,GTW_carConfig,GTW_steeringColumnType,ETH_GTW_steeringColumnType
BFT,0x20A,MSMD_seatPos,MSMD_slidePosition,ETH_MSMD_slidePosition
BFT,0x30A,MSMD_status,MSMD_smartSwitchPressReq,ETH_MSMD_smartSwitchPressReq
BFT,0x20B,MSMP_seatPos,MSMP_slidePosition,ETH_MSMP_slidePosition
BFT,0x30B,MSMP_status,MSMP_smartSwitchPressReq,ETH_MSMP_smartSwitchPressReq
BFT,0x306,PTC_Faults,PTC_SoftwareVersion_Num,ETH_PTC_SoftwareVersion_Num
BFT,0x607,RCCM_Faults,RCCM_SoftwareRegion_Num,ETH_RCCM_SoftwareRegion_Num
BFT,0x607,RCCM_Faults,RCCM_SoftwareVersion_Num,ETH_RCCM_SoftwareVersion_Num
BFT,0x45,STW_ACTN_RQ,HiBmLvr_Stat,ETH_HiBmLvr_Stat
BFT,0x45,STW_ACTN_RQ,HrnSw_Psd,ETH_HrnSw_Psd
BFT,0x45,STW_ACTN_RQ,SpdCtrlLvr_Stat,ETH_SpdCtrlLvr_Stat
BFT,0x45,STW_ACTN_RQ,WprWashSw_Psd,ETH_WprWashSw_Psd
CH,0x3F9,APP_cameraLux,APP_backupCameraLUX,ETH_APP_backupCameraLUX
CH,0x3F9,APP_cameraLux,APP_fisheyeCameraLUX,ETH_APP_fisheyeCameraLUX
CH,0x3F9,APP_cameraLux,APP_lPillarCameraLUX,ETH_APP_lPillarCameraLUX
CH,0x3F9,APP_cameraLux,APP_lRepeatCameraLUX,ETH_APP_lRepeatCameraLUX
CH,0x3F9,APP_cameraLux,APP_mainCameraLUX,ETH_APP_mainCameraLUX
CH,0x3F9,APP_cameraLux,APP_narrowCameraLUX,ETH_APP_narrowCameraLUX
CH,0x3F9,APP_cameraLux,APP_rPillarCameraLUX,ETH_APP_rPillarCameraLUX
CH,0x3F9,APP_cameraLux,APP_rRepeatCameraLUX,ETH_APP_rRepeatCameraLUX
CH,0x260,APP_environment,APP_environmentRainy,ETH_APP_environmentRainy
CH,0x260,APP_environment,APP_environmentSnowy,ETH_APP_environmentSnowy
CH,0x425,APP_factorySummonGoal,APP_factoryGoalLatitude,ETH_APP_factoryGoalLatitude
CH,0x425,APP_factorySummonGoal,APP_factoryGoalLongitude,ETH_APP_factoryGoalLongitude
CH,0x259,APP_status,APP_clipRecordingStatus,ETH_APP_clipRecordingStatus
